"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"商道卓越有限公司研发部","AI（无人驾驶方向）10k起（可...","10k-15k","深圳 ","经验应届毕业生","大专及以上","全职","人工智能","3天前  ","项目奖,提供住宿,五险一金,年终奖","岗位职责： 根据需求构建机器学习的框架，提供机器学习的模型并分析训练和测试的数据。 提供经过验证好的接入接口，以及统计数据信息。 负责相关机器学习算法的改进和优化； 根据当前的领域，对人工智能相关的预研工作。 ","深圳-宝安区-西乡-深圳市宝安区西乡蚝业雅苑写字楼205西乡地铁A口","2018-08-13 22:06:47"
"晟视智能科技软件开发","无人驾驶定位算法工程师","10K-20K","武汉 ","经验1-3年","硕士及以上","全职","人工智能 | 机器学习 | 深度学习 | 算法","2018-08-04  ","待遇优厚,技术前沿,提升大/快,成长快","主要职责：","武汉-东湖新技术开发区-光谷-光谷大道35号光谷总部时代","2018-08-13 22:06:50"
"骥智智能科技研发部","自动驾驶无人驾驶无人车工...","15k-30k","上海 ","经验1-3年","硕士及以上","全职","软件开发","2018-07-14  ","通用智能,自动驾驶","深度学习模型的自动驾驶应用、测试、集成、改进等；前沿论文模型跟进复现。","上海-浦东新区-张江-张江长泰广场10座342","2018-08-13 22:06:53"
"轻推","无人驾驶硬件工程师","6k-12k","重庆 ","经验不限","本科及以上","全职","智能硬件","2018-08-09  ","央企,平台稳定","岗位职责：","重庆-渝北区-鸳鸯-复城国际","2018-08-13 22:06:55"
"中云智车/ZIVT","无人驾驶算法工程师","30k-60k","北京 ","经验3-5年","硕士及以上","全职","地图 | 图像处理 | 算法","2018-07-18  ","五险一金","岗位职责：全面负责公司系列无人车产品的感知、定位或规划控制算法的开发，包括三维点云/视觉目标检测识别追踪，点云地图配准定位，地图建立与SLAM技术，车辆驾驶决策与路径规划技术等。任职要求:1、优秀的编程能力，熟练掌握C++、Python。2、具备ROS下机器人系统研发能力，熟练掌握Linux，有无人驾驶，移动机器人相关项目开发经验，了解autoware，Apollo等开源自动驾驶项目。3、精通以下一个或多个领域: 基于视觉/激光雷达的目标检测、识别、跟踪；点云/图像场景分割、理解；三维点云/图像处理方法及相关工具库;雷达摄像头等多传感器融合方法;基于深度学习目标检测常见算法;激光/视觉SLAM;高精度地图;无人车驾驶决策与路径规划及控制算法等。","北京-海淀区-苏州桥-苏州桥","2018-08-13 22:06:58"
"驭势科技电器产品","无人驾驶底盘软件工程师","15k-25k","北京 ","经验不限","本科及以上","全职","汽车 | Linux | 系统架构","3天前  ","无人驾驶,免费工作餐,班车,合伙人文化"," ","北京-房山区-中关村产业前沿技术研究院","2018-08-13 22:07:12"
"滴滴出行无人驾驶","嵌入式软硬件系统工程师--...","15k-30k","杭州 ","经验3-5年","本科及以上","全职","硬件制造 | 硬件 | 嵌入式 | 系统","2018-08-09  ","挑战高、福利好、团队氛围好",,"杭州市市市-西湖区-西溪-互联网金融大厦15楼","2018-08-13 22:07:14"
"NVIDIA(英伟达)System Software","无人驾驶系统工程师","1k-2k","上海 ","经验应届毕业生","本科及以上","全职","C","13:21  ","补充公积金,优秀团队,弹性工作,定期体检","Autonomous Driving System Engineer","上海-浦东新区-张江-秋月路26号","2018-08-13 22:07:17"
"WESTWELLlab西井科技自动驾驶","无人驾驶仿真工程师","18k-28k","上海 ","经验不限","本科及以上","全职","算法","2018-07-31  ","氛围环境,6险1金,一线福利,团队有爱","工作职责：","上海-长宁区-利西路102号1幢201","2018-08-13 22:07:20"
"坎德拉导航部","无人驾驶高精地图处理工程师","15k-30k","深圳 ","经验不限","本科及以上","全职","地图 | 算法","2018-07-17  ","弹性时间,氛围好,环境好","岗位职责：","深圳-南山区-后海-创业投资大厦","2018-08-13 22:07:23"
"Autobrain","无人驾驶决策与规划算法工...","15k-30k","天津 ","经验1-3年","硕士及以上","全职","汽车 | 移动互联网 | 算法 | 人工智能","2018-07-26  ","路径规划,决策算法,人工智能,信号处理","负责工作：","天津-东丽区-新立-五经路1号","2018-08-13 22:07:25"
"Momenta研发部","无人驾驶仿真系统开发工程师","20k-40k","北京 ","经验不限","本科及以上","全职","软件开发","2018-08-03  ","发展前景","职位描述：","北京-海淀区-中关村-北京市海淀区中关村东路8号东升大厦A座5层501","2018-08-13 22:07:28"
"美团点评技术架构部","无人驾驶感知定位算法研究...","25k-45k","北京 ","经验3-5年","硕士及以上","全职","算法","11:08  ","技术大牛；免费班车","工作职责：• 负责面向无人驾驶应用的机器视觉，激光雷达，里程计等数据处理和多传感器数据融合，实现多目标跟踪等复杂感知功能• 负责融合GPS，里程计多种设备的导航定位算法研发• 具有一定的软件编写和工程经验","北京-朝阳区-望京-望京东路4号","2018-08-13 22:07:31"
"智加科技技术部","研发工程师-人工智能/自动...","30k-50k","北京 ","经验3-5年","硕士及以上","全职","汽车 | C++","2018-08-02  ","C++,算法","岗位职责：","北京-海淀区-中关村软件园一期","2018-08-13 22:07:34"
"惠尔海工人工智能","算法工程师（自动驾驶）","15k-30k","深圳 ","经验1-3年","硕士及以上","全职","人工智能 | 机器学习 | 深度学习","15:32  ","百度工程师,剑桥研究生,华为工程师,精英团队","岗位职责：","深圳-南山区-海上世界-蛇口太子路海景广场5C","2018-08-13 22:07:36"
"速腾聚创","技术支持（无人驾驶激光雷达）","8k-16k","深圳 ","经验不限","本科及以上","全职","汽车 | 硬件制造 | 硬件测试 | 产品测试","09:21  ","风口行业,自动驾驶,产品经理,技术支持","岗位职责：","深圳-南山区-西丽-南山区桃源街道留仙大道1213号众冠红花岭工业南区1区速腾科技楼","2018-08-13 22:07:39"
"商汤科技HPC","自动驾驶平台架构师","20k-40k","上海 ","经验3-5年","硕士及以上","全职","资深 | 车辆工程 | 自动驾驶 | 平台架构","15:47  ","人工智能,福利好,技术大牛多,弹性工作","岗位职责： 1 自动驾驶系统整体技术方案整体设计、研发规划2 研发真实道路和复杂交通条件下的无人驾驶系统，把控技术研究方向3 带领团队解决感知和决策模块核心技术问题4 研发专利布局，行业标准制定，协助部门负责人提升公司影响力任职要求： 1 机器人、计算机、自动化、车辆工程等相关专业博士，优秀硕士。2 有3-5年以上自动驾驶/机器人相关项目系统开发/设计经验，对感知，高精度地图采集和定位（基于视频/Lidar），IMU/GNSS，V2X有深刻理解或开发经验；3 有移动机器人或无人车参赛经验者优先, 有整车厂、汽车零部件供应商工作经验者优先；4. 有责任心，进取心，求知欲及团队合作精神，有较强的沟通及协调能力","上海-徐汇区-上海市徐汇区漕河泾桂平路391号新漕河泾国际商务中心","2018-08-13 22:07:42"
"一清科技","无人驾驶C++软件开发工程师","10k-15k","深圳 ","经验1-3年","本科及以上","全职","智能硬件 | 汽车 | C++ | Linux/Unix","16:57  ","无人驾驶,团队大牛多,薪酬福利好,公司发展快","职责:","深圳-南山区-南头-高新南四道25号W2-B附楼一层","2018-08-13 22:07:45"
"杭州逐影商务部","无人驾驶系统销售经理","15k-30k","杭州 ","经验3-5年","大专及以上","全职","汽车 | 物流 | 销售 | 市场拓展","2018-08-01  ","五险一金,包三餐,弹性工作,交通补助","岗位要求：","杭州-西湖区-古墩路-瑞博国际B座308","2018-08-13 22:07:48"
"西北风在线基础架构","自动驾驶技术负责人","25k-50k","北京 ","经验5-10年","本科及以上","全职","汽车 | 算法","2018-07-27  ","薪水高,合伙人,旅游","职位描述：","北京-海淀区-永澄北路2号院","2018-08-13 22:07:51"
"驭势科技电气产品","无人驾驶传感器导入工程师","15k-25k","北京 ","经验1-3年","本科及以上","全职","汽车 | Linux/Unix","3天前  ","无人驾驶,免费工作餐,班车,合伙人文化"," ","北京-房山区-中关村产业前沿技术研究院","2018-08-13 22:08:05"
"滴滴出行无人驾驶","控制工程师软/硬件工程师 ...","15k-30k","北京 ","经验1-3年","本科及以上","全职","硬件制造 | 硬件","2018-08-09  ","挑战高、福利好、团队氛围好",,"北京-海淀区-西北旺-东北旺西路8号院尚东数字山谷B区1号楼","2018-08-13 22:08:08"
"坎德拉导航部","无人驾驶平台工程师","15k-30k","深圳 ","经验不限","本科及以上","全职","算法","2018-07-17  ","弹性工作","岗位职责：","深圳-南山区-后海-创业投资大厦","2018-08-13 22:08:11"
"美团点评无人配送部","自动驾驶-感知定位算法研...","30k-60k","北京 ","经验3-5年","本科及以上","全职","人工智能 | 计算机视觉 | 图像处理 | 算法","2018-08-07  ","自动驾驶,人工智能,计算机视觉,感知定位","自动驾驶-感知定位算法研究员／高级专家工作地点：北京工作职责：• 用视觉识别和理解复杂环境，为无人配送机器人提供视觉感知和定位解决方案职位要求：• 计算机或机器人相关专业，硕士毕业五年以上，博士毕业两年以上• 有扎实的图像分析和模式识别理论基础，精通目标检测、跟踪、识别等常见的计算机视觉处理任务• 有扎实的数学基础，精通常见的几何、统计学等，并熟悉这些技术在图像识别领域中的应用• 有很强的工程能力，精通 C++ 语言以及至少另一种常见编程语言• 对计算机结构有深刻的认识，能够开发高性能、实时运行的图像处理软件• 具有机器人或无人驾驶相关项目经验，致力于创造解决实际问题的视觉感知技术优先考虑：• 熟悉visual SLAM 等在机器人定位和导航领域中常用的经典方法• 熟悉stereo ， structured light， ToF 等三维成像原理和方法• 熟悉高性能运算加速工具如 Neon 以及GPGPU 技术如 GLES， CUDA 和OpenCL 等• 发表过CVPR/ECCV/ICCV/NIPS/ICML 等视觉和 AI 领域会议文章• 熟悉图像识别领域的常见工具如 OpenCV 、PCL等","北京-朝阳区-望京东路科创大厦","2018-08-13 22:08:14"
"WESTWELLlab西井科技自动驾驶","无人驾驶车辆控制算法工程师","18k-30k","上海 ","经验不限","硕士及以上","全职","汽车 | Python | 算法","2018-07-31  ","氛围环境,6险1金,一线福利,团队有爱","工作职责：","上海-长宁区-利西路102号1幢201","2018-08-13 22:08:17"
"Momenta研发部","无人驾驶持续集成开发工程师","15k-30k","北京 ","经验不限","本科及以上","全职","云计算 | 测试","2018-08-03  ","发展前景","职位描述：","北京-海淀区-中关村-北京市海淀区中关村东路8号东升大厦A座5层501","2018-08-13 22:08:19"
"主线科技","自动驾驶测试工程师","10k-15k","北京 ","经验不限","本科及以上","全职","汽车","10:22  ","薪资福利好,发展空间大,一对一辅导,欢迎应届生","岗位职责：","北京-海淀区-中关村-互联网金融中心","2018-08-13 22:08:22"
"腾讯地图平台部","MIG16-自动驾驶项目经理(...","18k-36k","北京 ","经验3-5年","硕士及以上","全职","汽车 | 项目管理","11:11  ","大平台,新领域,大咖多",,"北京-海淀区-北京大学-第三极大厦","2018-08-13 22:08:25"
"百度智能汽车部","自动驾驶高级研发工程师（...","15k-25k","北京 ","经验不限","本科及以上","全职","C++","2018-08-09  ","薪资福利好","工作职责：-负责高精定位系统的总体设计、算法集成和技术调试-负责设计与实现高精定位系统的调试系统、评估工具、数据上传等","北京-海淀区-西二旗-百度大厦","2018-08-13 22:08:28"
"北京飞澈科技有限公司","无人驾驶计算机视觉算法工...","12k-24k","北京 ","经验不限","学历不限","全职","人工智能 | 计算机视觉 | 图像处理 | 模式识别","2018-08-04  ","海归团队,弹性工作,五险一金","职位描述： 丰田投资（A轮）的自动驾驶公司（本社位于东京）北京分公司招聘。创始人与成员主要由名古屋大学，东京工业大学等博士构成，有丰富论文发表经验和工程经验。致力于自动驾驶与ADAS技术落地应用。公司主要客户有丰田汽车，JVC，歌乐等。参见：www.ficha.jp ","北京-海淀区-中关村-立方庭","2018-08-13 22:08:31"
"菜鸟网络菜鸟网络ET实验室","资深前端工程师/专家","20k-40k","杭州 ","经验3-5年","本科及以上","全职","Javascript | 前端开发 | webGL | Node.js | 电商 | 地图","10:52  ","地图,3D仿真,无人车,有期权",,"杭州-余杭区-文一路588号西溪首座","2018-08-13 22:08:34"
"地平线机器人数据管理部","高级数据项目经理—图像语...","15k-30k","北京 ","经验3-5年","本科及以上","全职","项目管理","10:38  ","人工智能,精英团队,发展空间大,六险一金","工作职责:1. 负责数据的详细制作标准、交付标准、交付流程，梳理相应标准制度；2. 对接研发部门需求，规划数据交付计划；3. 负责保证数据团队高质量交付，把控交付标准；4. 负责研发部门对数据的验收、数据质量维护、需求变更等流程的实施，确保交付的数据的描述清晰、质量符合约定。任职资格:1. 具有2年或以上数据采集和标注服务行业经验。2. 有人脸、人体、无人驾驶等图像识别相关领域的数据相关工作经验优先。3. 有语音识别、自然语音处理、语音合成相关领域的数据相关工作经验优先。 4. 有项目管理实践工作经验，PMP认证优先； 5. 注重细节，善于归纳总结；良好的团队沟通协作能力，能够承担工作压力。","北京-海淀区-中关村大街1号海龙大厦3层","2018-08-13 22:08:36"
"Roadstar.ai","DEMO工程师","15k-20k","深圳 ","经验1-3年","本科及以上","全职","数据挖掘 | 数据分析","11:44  ","高薪高福利,发展平台好,全日餐饮,六险一金","岗位职责：","深圳-龙岗区-坂田-坂田街道梅坂大道与雅宝路交汇处星河World写字楼F座15楼","2018-08-13 22:08:39"
"PerceptIn普思英察研发部","高级整车控制软件工程师","20k-40k","深圳 ","经验3-5年","本科及以上","全职","媒体 | 数据分析","09:23  ","海归团队,工作氛围好","岗位职责：","深圳-南山区-科技园-科兴科学园","2018-08-13 22:08:42"
"MINIEYE研发部","传感器融合算法工程师","15k-30k","南京 ","经验不限","硕士及以上","全职","汽车 | 算法","10:07  ","自动驾驶,海归团队,股票期权,弹性办公","职位诱惑：","南京-雨花台区-软件大道109号雨花客厅3栋1501","2018-08-13 22:08:45"
"滴滴出行无人驾驶","控制工程师软/硬件工程师 ...","15k-30k","杭州 ","经验1-3年","本科及以上","全职","硬件制造 | 硬件","2018-08-09  ","挑战高、福利好、团队氛围好",,"杭州市-西湖区-西溪-互联网金融大厦15楼","2018-08-13 22:08:58"
"驭势科技规划控制","无人驾驶决策算法工程师","20k-30k","北京 ","经验1-3年","学历不限","全职","汽车 | Linux/Unix | C | C++","3天前  ","无人驾驶,免费工作餐,班车,合伙人文化",,"北京-房山区-中关村产业前沿技术研究院","2018-08-13 22:09:02"
"坎德拉导航部","无人驾驶路径规划与决策工...","15k-30k","深圳 ","经验不限","本科及以上","全职","算法","2018-07-17  ","弹性工作,环境好,氛围好","岗位职责：","深圳-南山区-后海-创业投资大厦","2018-08-13 22:09:04"
"WESTWELLlab西井科技自动驾驶","资深无人驾驶激光算法工程师","18k-28k","上海 ","经验不限","硕士及以上","全职","地图 | 算法 | 机器学习","2018-07-31  ","氛围环境,6险1金,一线福利,团队有爱","岗位职责：","上海-长宁区-利西路102号1幢201","2018-08-13 22:09:10"
"美团点评技术架构部","无人驾驶规划控制算法研究...","25k-45k","北京 ","经验3-5年","硕士及以上","全职","算法","11:08  ","技术大牛；免费班车","工作职责• 融合多传感器感知和定位数据，研发真实道路和交通条件下的无人驾驶规划算法• 开发满足复杂场景和任务要求的无人驾驶规划算法• 开发无人驾驶系统纵横向控制算法职位要求• 具有机器人或无人驾驶规划工作经历• 具有轮式车辆纵横向控制工作经历• 精通控制理论，掌握pid，mpc，模糊控制等多种控制方法• 极度重视发现问题和解决问题能力。","北京-朝阳区-望京-望京东路4号","2018-08-13 22:09:13"
"Momenta研发部","无人驾驶决策规划算法工程师","30k-60k","北京 ","经验不限","本科及以上","全职","算法","2018-08-03  ","大牛指导","职位描述：","北京-海淀区-中关村-北京市海淀区中关村东路8号东升大厦A座5层501","2018-08-13 22:09:18"
"百度智能汽车部","自动驾驶高级研发工程师（...","15k-25k","北京 ","经验不限","本科及以上","全职","C++","2018-08-09  ","薪资福利好","工作职责：-参与无人驾驶汽车操作系统架构、底层基础组件的研发，以及性能优化等工作-负责自动驾驶软件（包括算法模块和底层OS）系统集成的设计、开发和调试","北京-海淀区-西二旗-百度大厦","2018-08-13 22:09:20"
"主线科技","市场专员","4k-8k","北京 ","经验不限","本科及以上","全职","文案/策划","10:22  ","行业前景好,薪资福利好,工作氛围好,晋升空间大","岗位职责：","北京-海淀区-互联网金融中心","2018-08-13 22:09:23"
"地平线机器人智能驾驶","决策规划算法工程师","20k-40k","北京 ","经验不限","学历不限","全职","后端","10:38  ","明星创业公司 AI行业 高薪待遇","工作职责:1. 自动驾驶决策规划算法的研发；2. 将比较成熟的决策规划算法进行工程化，并进行相应测试；3. 车辆的集成测试（户外工作）。任职资格:1. 掌握至少一种主流路径规划算法（如Hybrid A*、CL-RRT、State Lattice等）；2. 精通C++/PYTHON编程语言，熟悉ROS操作系统，熟练使用Eigen、OMPL、Gazebo、OPENCV等工具；3. 熟悉机器学习算法（RNN、LSTM、RL），掌握至少一种深度学习框架，熟悉gym或者universe等深度强化学习平台者优先；4. 有无人车相关开发经验，熟悉无人驾驶系统，熟悉车辆运动学模型者优先；5. 参加过RoboCup，RoboMaster等机器人比赛者优先。","北京-海淀区-中关村-中关村大街1号海龙大厦3层","2018-08-13 22:09:27"
"MINIEYE研发部","传感融合算法工程师","15k-30k","北京 ","经验不限","硕士及以上","全职","汽车 | 算法","10:07  ","自动驾驶,海归团队,股票期权,弹性办公","职位诱惑：","北京-海淀区-中关村SOHO大厦","2018-08-13 22:09:30"
"PerceptIn普思英察","高级系统软件工程师","25k-40k","深圳 ","经验1-3年","本科及以上","全职","汽车 | 智能硬件 | 算法","09:23  ","海归团队,发展空间大,无人驾驶,期权股票","岗位职责：","深圳-南山区-科技园-科兴科学园","2018-08-13 22:09:34"
"速腾聚创研发部","算法工程师(感知)","20K-40K","深圳 ","经验1-3年","硕士及以上","全职","人工智能 | 机器学习","09:21  ","人工智能","岗位职责：","深圳-南山区--南山区桃源街道留仙大道1213号众冠红花岭工业南区1区速腾科技楼","2018-08-13 22:09:37"
"四维图新自动驾驶部","激光雷达算法工程师","15k-25k","北京 ","经验3-5年","硕士及以上","全职","算法 | 数据挖掘","10:23  ","六险一金饭补 班车 弹性时间优秀员工境外游","工作职责1.负责无人驾驶汽车车载感知算法的核心技术研发工作2.参与无人驾驶汽车车载系统的工程化实现工作","北京-海淀区-西北旺-四维图新大厦","2018-08-13 22:09:39"
"一清科技","SLAM 算法⼯程师","18k-35k","深圳 ","经验不限","硕士及以上","全职","智能硬件 | 汽车 | 算法 | 计算机视觉","17:07  ","无人驾驶,团队大牛多,薪酬福利好,公司发展快","职责：","深圳-南山区-南头-高新南四道25号W2-B附楼一层","2018-08-13 22:09:42"
"Roadstar.ai自动驾驶研发部","决策规划工程师","20k-40k","深圳 ","经验1-3年","本科及以上","全职","算法","2018-08-07  ","技术大牛,高薪高福利,全日餐饮,六险一金","岗位职责：","深圳-南山区-西丽湖路西丽山庄","2018-08-13 22:09:45"
"美团点评外卖配送","无人驾驶算法优化研究员/专家","25k-45k","北京 ","经验3-5年","硕士及以上","全职","硬件制造 | 算法","11:08  ","技术大牛","工作职责：• 负责面向无人驾驶应用的算法优化和移植工作• 算法底层实现的优化，包括x86和arm等平台• 算法并行化移植","北京-朝阳区-望京-望京东路4号","2018-08-13 22:10:00"
"滴滴出行滴滴出行","智能驾驶测试员","8k-15k","苏州 ","经验5-10年","大专及以上","全职","汽车","2018-08-07  ","智能驾驶,无人驾驶,测试,安全","无人驾驶的安全驾驶员，进行无人车的测试工作。","苏州-吴中区-长桥-建胜产业园","2018-08-13 22:10:04"
"Momenta研发","自动驾驶测试实习生","6k-10k","北京 ","经验不限","本科及以上","全职","测试 | 自动化","2018-08-09  ","高时薪,免费三餐,免费健身房,大牛坐镇",,"北京-海淀区-五道口-北京市海淀区中关村东路8号东升大厦","2018-08-13 22:10:10"
"地平线机器人云平台","前端开发工程师（人工智能类）","10k-20k","南京 ","经验1-3年","本科及以上","全职","视频 | Web前端","10:38  ","成长空间大,积累经验","工作职责:1、负责⼈工智能相关产品的前端工作，包括智能商业、无人驾驶可视化、标注训练平台，数据模型和算法的可视化等2、负责公司内部工具和系统的开发，不断改进工作流程，提升团队工作效率。3、工作内容包括前端产品的架构设计，实现，单元测试及功能维护， 并编写相关文档任职资格:1、计算机相关专业本科及以上学历，3 年以上大型 Web 应用前端架构与开发经验；2、深刻理解 Web 标准，HTML、CSS、JavaScript 基础扎实，关注前端技术发展；3、熟悉 React、Angular 或者 Node.js 等技术，有实际产品开发经验，有深入研究者优先；4、熟悉 Canvas、SVG、WebGL，对数据可视化理论知识有深⼊了解者优先；5、对图片/视频/语音等多媒体的解码传输有了解或有前端操作经验者优先；6、较强的逻辑思维和沟通能⼒，能够快速定位问题并提供合理解决方案；7、认真负责，积极主动，有良好的团队合作意识。","南京-栖霞区-经济开发区兴智路6号兴智科技园A栋20F","2018-08-13 22:10:16"
"速腾聚创","SLAM算法工程师（2019校园...","16k-25k","深圳 ","经验应届毕业生","硕士及以上","全职","人工智能 | 深度学习 | 机器学习 | 算法","09:21  ","AI行业,无人驾驶,激光雷达","工作职责：","深圳-南山区-西丽-南山区桃源街道留仙大道1213号众冠红花岭工业南区1区速腾科技楼","2018-08-13 22:10:21"
"MINIEYE研发部","感知避障算法工程师","15k-30k","深圳 ","经验1-3年","本科及以上","全职","机器学习 | 算法","10:07  ","无人驾驶,海归团队,车厂合作,弹性工作","职位描述：","深圳-南山区-泰邦科技大厦","2018-08-13 22:10:24"
"PerceptIn普思英察","商务实习生","2k-4k","深圳 ","经验应届毕业生","本科及以上","实习","市场 | 行业分析","09:23  ","海归团队,高实习补贴","工作内容：","深圳-南山区-科技园-科兴科学园","2018-08-13 22:10:28"
"主线科技自动驾驶研发部","集成工程师","10k-15k","北京 ","经验不限","本科及以上","全职","测试 | 性能测试 | 汽车","10:22  ","薪资福利好,发展空间大,领导好","岗位职责：","北京-海淀区-中关村-互联网金融中心","2018-08-13 22:10:31"
"一清科技","硬件开发工程师","10k-15k","深圳 ","经验1-3年","本科及以上","全职","智能硬件 | 电子/半导体/集成电路 | FPGA | PCB工艺 | 传感器 | 智能硬件","16:50  ","无人驾驶,团队大牛多,薪酬福利好,公司发展快","职责:","深圳-南山区-南头-高新南四道25号W2-B附楼一层","2018-08-13 22:10:34"
"四维图新自动驾驶研发部","感知算法工程师","13k-25k","北京 ","经验3-5年","本科及以上","全职","机器学习 | 计算机视觉 | 算法","10:23  ","核心部门核心岗位；技术氛围浓厚","工作职责:","北京-海淀区-西北旺-四维图新大厦","2018-08-13 22:10:39"
"Roadstar.ai自动驾驶研发部","系统仿真工具开发工程师","15k-30k","深圳 ","经验1-3年","本科及以上","全职","游戏","2018-08-07  ","技术大牛,高薪高福利,全日餐饮,六险一金","工作职责：","深圳-南山区-西丽湖路西丽山庄","2018-08-13 22:10:44"
"图森未来ITS","车辆控制系统工程师","18k-35k","北京 ","经验不限","本科及以上","全职","汽车","2018-08-01  ","行业前沿,大牛云集,发展空间大,薪酬福利好","岗位职责","北京-朝阳区-光华路甲9号世贸商务楼5层","2018-08-13 22:10:47"
"杭州逐影技术部","组合导航算法工程师","20k-40k","杭州 ","经验1-3年","硕士及以上","全职","地图 | 人工智能 | 算法","2018-08-01  ","包三餐,五险一金,2周团建","岗位职责:负责研究无人驾驶定位导航相关算法。主要包括但不限于：GNSS,RTK,IMU组合导航导航相关算法研究、验证、实现和优化任职资格:1.  测控、导航、机器人，计算机， 软件, 自动化, 电子信息等相关专业本科以上学历2.  熟悉 C++编程, 熟悉 Linux及ROS系统3. 具备扎实的算法功底，熟练掌握GNSS/RTK/INS等理论4. 精通组合导航算法设计5. 具备良好的逻辑沟通能力和解决实际问题的能力6. 有较强的的独立工作能力和团队精神7. 有相关组合导航相关实际开发等经验者优先8. 熟悉GNSS, IMU等相关设备者优先","杭州-西湖区-古墩路-瑞博国际B座308","2018-08-13 22:10:50"
"亿咖通科技自动驾驶研究部","标定算法工程师","10k-20k","杭州 ","经验1-3年","硕士及以上","全职","算法 | 计算机视觉 | 机器学习","2018-08-01  ","机会多,成长快,技术热,扁平化","职位描述：","杭州-滨江区-西兴-杭州印17楼","2018-08-13 22:10:52"
"牧月","车辆系统工程师","20k-40k","深圳 ","经验1-3年","本科及以上","全职","硬件开发 | 系统集成 | 自动化","2018-08-07  ","福利多多,弹性工作,氛围好","职位描述：","深圳-龙华新区-民治街道","2018-08-13 22:10:55"
"美团点评餐饮平台事业群","无人驾驶系统架构师","25k-50k","北京 ","经验3-5年","本科及以上","全职","硬件制造 | 软件开发 | Linux","2018-08-07  ","自动驾驶,无人车,前沿技术,复杂场景","工作职责：","北京-朝阳区-望京东路科创大厦","2018-08-13 22:11:09"
